Box TID	63211001	Name	마니의 디시르 카드 (63211001)	RollCount	1000000
common	10002	스팅가	117523	0.11687500	0.11752300
common	10003	베이니	116791	0.11687500	0.11679100
common	10004	헤이티	116535	0.11687500	0.11653500
common	10005	파트라	116933	0.11687500	0.11693300
common	10006	스쿠다	117064	0.11687500	0.11706400
common	10007	쿠리	117322	0.11687500	0.11732200
common	10008	피이리	117372	0.11687500	0.11737200
common	10009	바트	116614	0.11687500	0.11661400
common	20001	알바	8010	0.00811250	0.00801000
common	20002	굴르	8026	0.00811250	0.00802600
common	20003	쿨	8041	0.00811250	0.00804100
common	20005	스납	8124	0.00811250	0.00812400
common	20006	비요른	7914	0.00811250	0.00791400
common	20007	라우프	7916	0.00811250	0.00791600
common	20008	귈리르	7968	0.00811250	0.00796800
common	20009	흐레인	7755	0.00811250	0.00775500
common	30001	브림오른	9	0.00000899	0.00000900
common	30002	히민흐발르	8	0.00000899	0.00000800
common	30003	베오터르	11	0.00000899	0.00001100
common	30004	호른게이트	10	0.00000899	0.00001000
common	30005	모르코켓트	11	0.00000899	0.00001100
common	30006	린드라	9	0.00000899	0.00000900
common	30007	스토름하우크르	1	0.00000899	0.00000100
common	30008	뷔알프	7	0.00000899	0.00000700
common	30009	베트라르	9	0.00000899	0.00000900
common	30011	페르다스쿠기	7	0.00000899	0.00000700
common	30012	브룬게이트	7	0.00000899	0.00000700
common	40001	톰테	0	0.00000015	0.00000000
common	40003	베드르폴니르	1	0.00000015	0.00000100
common	40004	탕그리스니르	1	0.00000015	0.00000100
common	40006	오테르	0	0.00000015	0.00000000
common	40007	글래시르	0	0.00000015	0.00000000
common	40008	모쿠르칼피	1	0.00000015	0.00000100
common	40009	라타토스크	0	0.00000015	0.00000000


