Box TID	63211001	Name	마니의 디시르 카드 (63211001)	RollCount	1000000
common	10002	스팅가	116769	0.11687500	0.11676900
common	10003	베이니	116781	0.11687500	0.11678100
common	10004	헤이티	117462	0.11687500	0.11746200
common	10005	파트라	117524	0.11687500	0.11752400
common	10006	스쿠다	117301	0.11687500	0.11730100
common	10007	쿠리	116796	0.11687500	0.11679600
common	10008	피이리	116893	0.11687500	0.11689300
common	10009	바트	116611	0.11687500	0.11661100
common	20001	알바	7942	0.00811250	0.00794200
common	20002	굴르	8040	0.00811250	0.00804000
common	20003	쿨	7994	0.00811250	0.00799400
common	20005	스납	8051	0.00811250	0.00805100
common	20006	비요른	7946	0.00811250	0.00794600
common	20007	라우프	7944	0.00811250	0.00794400
common	20008	귈리르	7957	0.00811250	0.00795700
common	20009	흐레인	7895	0.00811250	0.00789500
common	30001	브림오른	12	0.00000899	0.00001200
common	30002	히민흐발르	3	0.00000899	0.00000300
common	30003	베오터르	9	0.00000899	0.00000900
common	30004	호른게이트	11	0.00000899	0.00001100
common	30005	모르코켓트	14	0.00000899	0.00001400
common	30006	린드라	5	0.00000899	0.00000500
common	30007	스토름하우크르	5	0.00000899	0.00000500
common	30008	뷔알프	10	0.00000899	0.00001000
common	30009	베트라르	6	0.00000899	0.00000600
common	30011	페르다스쿠기	10	0.00000899	0.00001000
common	30012	브룬게이트	8	0.00000899	0.00000800
common	40001	톰테	1	0.00000015	0.00000100
common	40003	베드르폴니르	0	0.00000015	0.00000000
common	40004	탕그리스니르	0	0.00000015	0.00000000
common	40006	오테르	0	0.00000015	0.00000000
common	40007	글래시르	0	0.00000015	0.00000000
common	40008	모쿠르칼피	0	0.00000015	0.00000000
common	40009	라타토스크	0	0.00000015	0.00000000


